Run Info,Run Info,Run Info,Run Info,Run Info,Run Info,Benchmark,Benchmark,Benchmark,Benchmark,Timings,Timings,Timings,Timings,Timings,Timings,Timings,Timings,Timings,Request Counts,Request Counts,Request Counts,Request Counts,Request Latency,Request Latency,Request Latency,Request Latency,Streaming Iterations,Streaming Iterations,Streaming Iterations,Streaming Iterations,Streaming Iterations,Streaming Iterations,Streaming Iterations,Streaming Iterations,Time to First Token,Time to First Token,Time to First Token,Time to First Token,Time to First Token,Time to First Token,Time to First Token,Time to First Token,Time to First Output Token,Time to First Output Token,Time to First Output Token,Time to First Output Token,Time to First Output Token,Time to First Output Token,Time to First Output Token,Time to First Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Inter Token Latency,Inter Token Latency,Inter Token Latency,Inter Token Latency,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Runtime Info,Runtime Info
Run ID,Run Index,Profile,Requests,Backend,Environment,Type,ID,Strategy,Constraints,Start Time,Request Start Time,Measure Start Time,Measure End Time,Request End Time,End Time,Duration,Warmup,Cooldown,Successful,Incomplete,Errored,Total,Successful Sec,Successful Sec,Successful Sec,Successful Sec,Successful Count,Successful Count,Successful Count,Successful Count,Incomplete Count,Incomplete Count,Incomplete Count,Incomplete Count,Successful ms,Successful ms,Successful ms,Successful ms,Incomplete ms,Incomplete ms,Incomplete ms,Incomplete ms,Successful ms,Successful ms,Successful ms,Successful ms,Incomplete ms,Incomplete ms,Incomplete ms,Incomplete ms,Successful ms,Successful ms,Successful ms,Successful ms,Incomplete ms,Incomplete ms,Incomplete ms,Incomplete ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful Requests/Sec,Successful Requests/Sec,Successful Requests/Sec,Successful Requests/Sec,Successful Concurrency,Successful Concurrency,Successful Concurrency,Successful Concurrency,Incomplete Concurrency,Incomplete Concurrency,Incomplete Concurrency,Incomplete Concurrency,Successful Input Tokens,Successful Input Tokens,Successful Input Tokens,Successful Input Tokens,Incomplete Input Tokens,Incomplete Input Tokens,Incomplete Input Tokens,Incomplete Input Tokens,Successful Output Tokens,Successful Output Tokens,Successful Output Tokens,Successful Output Tokens,Incomplete Output Tokens,Incomplete Output Tokens,Incomplete Output Tokens,Incomplete Output Tokens,Successful Total Tokens,Successful Total Tokens,Successful Total Tokens,Successful Total Tokens,Incomplete Total Tokens,Incomplete Total Tokens,Incomplete Total Tokens,Incomplete Total Tokens,Successful Input Tokens/Sec,Successful Input Tokens/Sec,Successful Input Tokens/Sec,Successful Input Tokens/Sec,Successful Output Tokens/Sec,Successful Output Tokens/Sec,Successful Output Tokens/Sec,Successful Output Tokens/Sec,Successful Total Tokens/Sec,Successful Total Tokens/Sec,Successful Total Tokens/Sec,Successful Total Tokens/Sec,Successful Output Tokens/Iter,Successful Output Tokens/Iter,Successful Output Tokens/Iter,Successful Output Tokens/Iter,Incomplete Output Tokens/Iter,Incomplete Output Tokens/Iter,Incomplete Output Tokens/Iter,Incomplete Output Tokens/Iter,Successful Iter Tokens/Iter,Successful Iter Tokens/Iter,Successful Iter Tokens/Iter,Successful Iter Tokens/Iter,Successful Input,Successful Input,Successful Input,Successful Input,Incomplete Input,Incomplete Input,Incomplete Input,Incomplete Input,Successful Output,Successful Output,Successful Output,Successful Output,Incomplete Output,Incomplete Output,Incomplete Output,Incomplete Output,Successful Total,Successful Total,Successful Total,Successful Total,Incomplete Total,Incomplete Total,Incomplete Total,Incomplete Total,Successful Input,Successful Input,Successful Input,Successful Input,Incomplete Input,Incomplete Input,Incomplete Input,Incomplete Input,Successful Output,Successful Output,Successful Output,Successful Output,Incomplete Output,Incomplete Output,Incomplete Output,Incomplete Output,Successful Total,Successful Total,Successful Total,Successful Total,Incomplete Total,Incomplete Total,Incomplete Total,Incomplete Total,Successful Input,Successful Input,Successful Input,Successful Input,Incomplete Input,Incomplete Input,Incomplete Input,Incomplete Input,Successful Output,Successful Output,Successful Output,Successful Output,Incomplete Output,Incomplete Output,Incomplete Output,Incomplete Output,Successful Total,Successful Total,Successful Total,Successful Total,Incomplete Total,Incomplete Total,Incomplete Total,Incomplete Total,Node ID,Num Processes,Created Requests,Processed Requests,Successful Requests,Errored Requests,Cancelled Requests,End Queuing Time,End Queuing Constraints,End Processing Time,End Processing Constraints,Requests Made Successful,Requests Made Incomplete,Requests Made Errored,Requests Made Total,Queued Time Avg,Resolve Start Delay Avg,Resolve Targeted Start Delay Avg,Request Start Delay Avg,Request Targeted Start Delay Avg,Request Time Avg,Resolve End Delay Avg,Resolve Time Avg,Finalized Delay Avg,Processed Delay Avg,Metadata,Arguments
,,,,,,,,,,,,,,,,Sec,Sec,Sec,,,,,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,,,,,,,,,,,,,,,,Sec,Sec,Sec,Sec,Sec,Sec,Sec,Sec,Sec,Sec,,
72a71d07-8f00-4d2a-8d3f-fd69ea555e35,0,"{""kind"": ""synchronous"", ""rampup_duration"": 10.0, ""warmup"": {""percent"": 0.0, ""value"": null, ""mode"": ""prefer_duration""}, ""cooldown"": {""percent"": 0.0, ""value"": null, ""mode"": ""prefer_duration""}}","{""kind"": ""pytorch"", ""samples"": -1, ""shuffle"": false, ""num_workers"": 1}","{""kind"": ""openai_http"", ""target"": ""http://127.0.0.1:8017"", ""model"": ""shooting-brake-jota-r15"", ""request_format"": ""/v1/chat/completions"", ""api_key"": null, ""api_routes"": {""/health"": ""health"", ""/v1/models"": ""v1/models"", ""/v1/completions"": ""v1/completions"", ""/v1/chat/completions"": ""v1/chat/completions"", ""/v1/embeddings"": ""v1/embeddings"", ""/v1/responses"": ""v1/responses"", ""/v1/audio/transcriptions"": ""v1/audio/transcriptions"", ""/v1/audio/translations"": ""v1/audio/translations"", ""/pooling"": ""pooling""}, ""timeout"": null, ""timeout_connect"": 5.0, ""http2"": true, ""follow_redirects"": true, ""verify"": false, ""validate_backend"": true, ""stream"": true, ""extras"": null, ""max_tokens"": null, ""server_history"": false, ""tool_call_missing_behavior"": ""error_stop"", ""multiturn_reasoning"": false}","{""str"": ""<guidellm.scheduler.environments.NonDistributedEnvironment object at 0x7e30cfe32270>"", ""type"": ""NonDistributedEnvironment"", ""class"": ""NonDistributedEnvironment"", ""module"": ""guidellm.scheduler.environments"", ""attributes"": {""run_errors"": []}}",generative_benchmark,b4007f87-4c19-4a8c-b0a9-6d84244b59cf,synchronous,"{""max_duration"": {""type_"": ""max_duration"", ""args"": {""kind"": ""max_duration"", ""stopping_scope"": ""current"", ""seconds"": 720}, ""current_index"": 0}, ""max_requests"": {""type_"": ""max_requests"", ""args"": {""kind"": ""max_requests"", ""stopping_scope"": ""current"", ""count"": 20}, ""current_index"": 0}, ""max_errors"": {""type_"": ""max_errors"", ""args"": {""kind"": ""max_errors"", ""stopping_scope"": ""current"", ""count"": 60}, ""current_index"": 0}}",2026-08-22 13:21:46,2026-08-22 13:21:46,2026-08-22 13:21:46,2026-08-22 13:33:46,2026-08-22 13:33:46,2026-08-22 13:33:53,720.0,-0.001714944839477539,0.001714944839477539,9,1,0,10,73.70561771922641,72.93934774398804,1.3081938371208461,"[72.19380116462708, 72.19380116462708, 72.19380116462708, 72.19380116462708, 72.19380116462708, 72.63465595245361, 74.56989884376526, 75.99231147766113, 75.99231147766113, 75.99231147766113, 75.99231147766113]",510.88888888888886,511.0,2.6434171674156266,"[506.0, 506.0, 506.0, 506.0, 506.0, 509.0, 513.0, 515.0, 515.0, 515.0, 515.0]",2.0,2.0,0.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",65385.67346996731,64656.72516822815,1388.010341307398,"[63892.35520362854, 63892.35520362854, 63892.35520362854, 63892.35520362854, 63892.35520362854, 64035.70866584778, 66442.17681884766, 67813.19499015808, 67813.19499015808, 67813.19499015808, 67813.19499015808]",63888.620376586914,63888.620376586914,0.0,"[63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914]",58786.347389221184,66036.28921508789,20846.387398192863,"[0.0, 0.0, 0.0, 0.0, 0.0, 63932.631731033325, 67813.19499015808, 68477.17547416687, 68477.17547416687, 68477.17547416687, 68477.17547416687]",63888.620376586914,63888.620376586914,0.0,"[63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914, 63888.620376586914]",143.95602275100018,142.45939394459128,2.5550616416957914,"[141.00325759500265, 141.00325759500265, 141.00325759500265, 141.00325759500265, 141.00325759500265, 141.8643561191857, 145.64406080171466, 148.42222072184086, 148.42222072184086, 148.42222072184086, 148.42222072184086]",31944.310188293457,31944.310188293457,0.0,"[31944.310188293457, 31944.310188293457, 31944.310188293457, 31944.310188293457, 31944.310188293457, 31944.310188293457, 31944.310188293457, 31944.310188293457, 31944.310188293457, 31944.310188293457, 31944.310188293457]",16.28142892083128,16.19904801803559,0.4222592013700686,"[15.641550728486243, 15.641550728486243, 15.641550728486243, 15.641550728486243, 15.641550728486243, 16.005835654450955, 16.61614569199295, 17.1080139518484, 17.1080139518484, 17.1080139518484, 17.1080139518484]",0.0125,0.013519786885323473,0.003994591342764676,"[0.0, 0.0, 0.0, 0.0, 0.013428866679396592, 0.013492015210221371, 0.0136272164536121, 0.013745387247691865, 0.015495958402758834, 0.015495958402758834, 0.015495958402758834]",0.9213202214903302,1.0,0.2692383162986634,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.07866824699772729,0.0,0.2692202702473048,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",127041.77777777778,127042.0,0.41573970964154905,"[127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127042.0, 127042.0, 127042.0, 127042.0, 127042.0, 127042.0]",127041.0,127041.0,0.0,"[127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127041.0]",512.0,512.0,0.0,"[512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0]",2.0,2.0,0.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",127553.77777777778,127554.0,0.41573970964154905,"[127553.0, 127553.0, 127553.0, 127553.0, 127553.0, 127554.0, 127554.0, 127554.0, 127554.0, 127554.0, 127554.0]",127043.0,127043.0,0.0,"[127043.0, 127043.0, 127043.0, 127043.0, 127043.0, 127043.0, 127043.0, 127043.0, 127043.0, 127043.0, 127043.0]",1943.1177237395873,1718.2165397433787,584.8421298098605,"[1704.899852453739, 1704.899852453739, 1704.899852453739, 1704.899852453739, 1704.899852453739, 1708.7537583344165, 1735.4205281936709, 3497.90480475773, 3506.2103210833006, 3506.2103210833006, 3506.2103210833006]",7.719701361868699,0.031229981082623138,20.332671207926822,"[0.02948545770711154, 0.02948545770711154, 0.02948545770711154, 0.02948545770711154, 0.029835395952166558, 0.030278288703911305, 0.03140864368390829, 59.88169176273265, 62.15180170945128, 63.93121011736639, 126.3649072065558]",1923.1974062941572,61.73122437477563,58478.24295011795,"[0.029952262825108125, 0.029952262825108125, 0.029952262825108125, 0.029952262825108125, 0.030013905270723968, 0.03129759798302714, 3928.7205662291385, 3973.1902088301918, 3975.622897582756, 3975.622897582756, 16053776.906242467]",1.0083150984682714,1.0078895463510849,0.005298303238034922,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0039292730844793, 1.011881188118812, 1.0179282868525896, 1.0179282868525896, 1.0179282868525896, 1.0179282868525896]",2.0,2.0,0.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",1.0083315062486298,1.0078895463510849,0.005290624615967253,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0039292730844793, 1.011881188118812, 1.0179282868525896, 1.0179282868525896, 1.0179282868525896, 1.0179282868525896]",127041.77777777778,127042.0,0.41573970964154905,"[127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127042.0, 127042.0, 127042.0, 127042.0, 127042.0, 127042.0]",127041.0,127041.0,0.0,"[127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127041.0, 127041.0]",512.0,512.0,0.0,"[512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0]",2.0,2.0,0.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",63776.88888888889,512.0,63264.888889571885,"[512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 127042.0, 127042.0, 127042.0, 127042.0, 127042.0]",63521.5,2.0,63519.5,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 127041.0, 127041.0, 127041.0, 127041.0, 127041.0]",100122.88888888888,100123.0,37.50983410148581,"[100063.0, 100063.0, 100063.0, 100063.0, 100063.0, 100099.0, 100159.0, 100172.0, 100172.0, 100172.0, 100172.0]",100157.0,100157.0,0.0,"[100157.0, 100157.0, 100157.0, 100157.0, 100157.0, 100157.0, 100157.0, 100157.0, 100157.0, 100157.0, 100157.0]",292.3333333333333,327.0,120.44823692266225,"[0.0, 0.0, 0.0, 0.0, 0.0, 273.0, 394.0, 402.0, 402.0, 402.0, 402.0]",1.0,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",50207.61111111111,402.0,49915.35748660358,"[0.0, 0.0, 0.0, 0.0, 202.0, 327.0, 100123.0, 100164.0, 100172.0, 100172.0, 100172.0]",50079.0,1.0,50078.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 100157.0, 100157.0, 100157.0, 100157.0, 100157.0]",672849.6666666665,672615.0,776.5911265123867,"[672046.0, 672046.0, 672046.0, 672046.0, 672046.0, 672361.0, 673053.0, 674647.0, 674647.0, 674647.0, 674647.0]",672013.0,672013.0,0.0,"[672013.0, 672013.0, 672013.0, 672013.0, 672013.0, 672013.0, 672013.0, 672013.0, 672013.0, 672013.0, 672013.0]",2000.0,2224.0,821.8926666880266,"[0.0, 0.0, 0.0, 0.0, 0.0, 1848.0, 2479.0, 2949.0, 2949.0, 2949.0, 2949.0]",3.0,3.0,0.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",337424.83333333326,2949.0,335425.7863035594,"[0.0, 0.0, 0.0, 0.0, 1381.0, 2224.0, 672615.0, 673494.0, 674647.0, 674647.0, 674647.0]",336008.0,3.0,336005.0,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 672013.0, 672013.0, 672013.0, 672013.0, 672013.0]",0,1,15,15,9,0,6,2026-08-22 13:33:53,"{""max_duration"": {""request_queuing"": ""stop"", ""request_processing"": ""stop_local"", ""stopping_scope"": ""current"", ""metadata"": {""max_duration"": 720, ""elapsed_time"": 727.2462689876556, ""duration_exceeded"": true, ""start_time"": 1787419306.6011457, ""current_time"": 1787420033.8474147, ""stop_time"": 1787420026.6011457}, ""progress"": {""remaining_requests"": null, ""total_requests"": null, ""remaining_duration"": 0.0, ""total_duration"": 720.0, ""stop_time"": 1787420026.6011457}}}",2026-08-22 13:33:53,"{""max_duration"": {""request_queuing"": ""stop"", ""request_processing"": ""stop_local"", ""stopping_scope"": ""current"", ""metadata"": {""max_duration"": 720, ""elapsed_time"": 727.2462689876556, ""duration_exceeded"": true, ""start_time"": 1787419306.6011457, ""current_time"": 1787420033.8474147, ""stop_time"": 1787420026.6011457}, ""progress"": {""remaining_requests"": null, ""total_requests"": null, ""remaining_duration"": 0.0, ""total_duration"": 720.0, ""stop_time"": 1787420026.6011457}}}",9,3,0,12,221.49482009410858,4.303455352783203e-05,0.0007689714431762696,6.129741668701172e-05,0.0008302688598632813,73.70561771922641,0.0005157788594563802,72.72462227344514,0.002260780334472656,0.0002773046493530273,"{""version"":2,""guidellm_version"":""0.7.3"",""python_version"":""3.12.13"",""platform"":""Linux-7.0.0-30-generic-x86_64-with-glibc2.43""}","{""metadata"":{""labels"":{}},""spec"":{""backend"":{""kind"":""openai_http"",""target"":""http://127.0.0.1:8017"",""model"":""shooting-brake-jota-r15"",""request_format"":""/v1/chat/completions"",""api_key"":null,""api_routes"":{""/health"":""health"",""/v1/models"":""v1/models"",""/v1/completions"":""v1/completions"",""/v1/chat/completions"":""v1/chat/completions"",""/v1/embeddings"":""v1/embeddings"",""/v1/responses"":""v1/responses"",""/v1/audio/transcriptions"":""v1/audio/transcriptions"",""/v1/audio/translations"":""v1/audio/translations"",""/pooling"":""pooling""},""timeout"":null,""timeout_connect"":5.0,""http2"":true,""follow_redirects"":true,""verify"":false,""validate_backend"":true,""stream"":true,""extras"":null,""max_tokens"":null,""server_history"":false,""tool_call_missing_behavior"":""error_stop"",""multiturn_reasoning"":false},""profile"":{""kind"":""synchronous"",""rampup_duration"":10.0,""warmup"":{""percent"":0.0,""value"":null,""mode"":""prefer_duration""},""cooldown"":{""percent"":0.0,""value"":null,""mode"":""prefer_duration""}},""constraints"":[{""kind"":""max_duration"",""stopping_scope"":""current"",""seconds"":720},{""kind"":""max_requests"",""stopping_scope"":""current"",""count"":20},{""kind"":""max_errors"",""stopping_scope"":""current"",""count"":60}],""tokenizer"":{""kind"":""huggingface_auto"",""model"":""srswti/axe-superveloce-jota-118b-r15-nvfp4"",""load_kwargs"":{""trust_remote_code"":true}},""data"":[{""kind"":""synthetic_text"",""load_kwargs"":{},""prompt_tokens"":127000,""prompt_tokens_stdev"":null,""prompt_tokens_min"":null,""prompt_tokens_max"":null,""output_tokens"":512,""output_tokens_stdev"":null,""output_tokens_min"":null,""output_tokens_max"":null,""delay"":null,""delay_stdev"":null,""delay_min"":null,""delay_max"":null,""turns"":1,""tool_call_turns"":[],""tools"":null,""tool_response_tokens"":null,""tool_response_tokens_stdev"":null,""tool_response_tokens_min"":null,""tool_response_tokens_max"":null,""server_tool_call_turns"":[],""prefix_buckets"":null}],""data_column_mapper"":{""kind"":""generative_column_mapper"",""column_mappings"":null},""data_preprocessors"":[{""kind"":""encode_media"",""audio_kwargs"":{},""image_kwargs"":{},""video_kwargs"":{}}],""data_finalizer"":{""kind"":""generative"",""tool_call_mode"":""client""},""data_loader"":{""kind"":""pytorch"",""samples"":-1,""shuffle"":false,""num_workers"":1},""seed"":{""kind"":""static"",""value"":42},""outputs"":[{""kind"":""json"",""path"":""/home/shooting-brake007/srswti/shooting-brake/bench-matrix/jota_r15_c6/shooting-brake-jota-r15/ctx_127000/synchronous/report.json""},{""kind"":""csv"",""path"":""/home/shooting-brake007/srswti/shooting-brake/bench-matrix/jota_r15_c6/shooting-brake-jota-r15/ctx_127000/synchronous/report.csv""}],""metrics"":{""kind"":""generative"",""sample_size"":null,""prefer_response_metrics"":true}},""benchmarks"":[null]}"
