Run Info,Run Info,Run Info,Run Info,Run Info,Run Info,Benchmark,Benchmark,Benchmark,Benchmark,Timings,Timings,Timings,Timings,Timings,Timings,Timings,Timings,Timings,Request Counts,Request Counts,Request Counts,Request Counts,Request Latency,Request Latency,Request Latency,Request Latency,Streaming Iterations,Streaming Iterations,Streaming Iterations,Streaming Iterations,Time to First Token,Time to First Token,Time to First Token,Time to First Token,Time to First Output Token,Time to First Output Token,Time to First Output Token,Time to First Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Inter Token Latency,Inter Token Latency,Inter Token Latency,Inter Token Latency,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Runtime Info,Runtime Info
Run ID,Run Index,Profile,Requests,Backend,Environment,Type,ID,Strategy,Constraints,Start Time,Request Start Time,Measure Start Time,Measure End Time,Request End Time,End Time,Duration,Warmup,Cooldown,Successful,Incomplete,Errored,Total,Successful Sec,Successful Sec,Successful Sec,Successful Sec,Successful Count,Successful Count,Successful Count,Successful Count,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful Requests/Sec,Successful Requests/Sec,Successful Requests/Sec,Successful Requests/Sec,Successful Concurrency,Successful Concurrency,Successful Concurrency,Successful Concurrency,Successful Input Tokens,Successful Input Tokens,Successful Input Tokens,Successful Input Tokens,Successful Output Tokens,Successful Output Tokens,Successful Output Tokens,Successful Output Tokens,Successful Total Tokens,Successful Total Tokens,Successful Total Tokens,Successful Total Tokens,Successful Input Tokens/Sec,Successful Input Tokens/Sec,Successful Input Tokens/Sec,Successful Input Tokens/Sec,Successful Output Tokens/Sec,Successful Output Tokens/Sec,Successful Output Tokens/Sec,Successful Output Tokens/Sec,Successful Total Tokens/Sec,Successful Total Tokens/Sec,Successful Total Tokens/Sec,Successful Total Tokens/Sec,Successful Output Tokens/Iter,Successful Output Tokens/Iter,Successful Output Tokens/Iter,Successful Output Tokens/Iter,Successful Iter Tokens/Iter,Successful Iter Tokens/Iter,Successful Iter Tokens/Iter,Successful Iter Tokens/Iter,Successful Input,Successful Input,Successful Input,Successful Input,Successful Output,Successful Output,Successful Output,Successful Output,Successful Total,Successful Total,Successful Total,Successful Total,Successful Input,Successful Input,Successful Input,Successful Input,Successful Output,Successful Output,Successful Output,Successful Output,Successful Total,Successful Total,Successful Total,Successful Total,Successful Input,Successful Input,Successful Input,Successful Input,Successful Output,Successful Output,Successful Output,Successful Output,Successful Total,Successful Total,Successful Total,Successful Total,Node ID,Num Processes,Created Requests,Processed Requests,Successful Requests,Errored Requests,Cancelled Requests,End Queuing Time,End Queuing Constraints,End Processing Time,End Processing Constraints,Requests Made Successful,Requests Made Incomplete,Requests Made Errored,Requests Made Total,Queued Time Avg,Resolve Start Delay Avg,Resolve Targeted Start Delay Avg,Request Start Delay Avg,Request Targeted Start Delay Avg,Request Time Avg,Resolve End Delay Avg,Resolve Time Avg,Finalized Delay Avg,Processed Delay Avg,Metadata,Arguments
,,,,,,,,,,,,,,,,Sec,Sec,Sec,,,,,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,,,,,,,,,,,,,,,,Sec,Sec,Sec,Sec,Sec,Sec,Sec,Sec,Sec,Sec,,
c678648f-5a8e-409d-b7f1-b782682f128b,0,"{""kind"": ""synchronous"", ""rampup_duration"": 10.0, ""warmup"": {""percent"": 0.0, ""value"": null, ""mode"": ""prefer_duration""}, ""cooldown"": {""percent"": 0.0, ""value"": null, ""mode"": ""prefer_duration""}}","{""kind"": ""pytorch"", ""samples"": -1, ""shuffle"": false, ""num_workers"": 1}","{""kind"": ""openai_http"", ""target"": ""http://127.0.0.1:8017"", ""model"": ""shooting-brake-jota-r15"", ""request_format"": ""/v1/chat/completions"", ""api_key"": null, ""api_routes"": {""/health"": ""health"", ""/v1/models"": ""v1/models"", ""/v1/completions"": ""v1/completions"", ""/v1/chat/completions"": ""v1/chat/completions"", ""/v1/embeddings"": ""v1/embeddings"", ""/v1/responses"": ""v1/responses"", ""/v1/audio/transcriptions"": ""v1/audio/transcriptions"", ""/v1/audio/translations"": ""v1/audio/translations"", ""/pooling"": ""pooling""}, ""timeout"": null, ""timeout_connect"": 5.0, ""http2"": true, ""follow_redirects"": true, ""verify"": false, ""validate_backend"": true, ""stream"": true, ""extras"": null, ""max_tokens"": null, ""server_history"": false, ""tool_call_missing_behavior"": ""error_stop"", ""multiturn_reasoning"": false}","{""str"": ""<guidellm.scheduler.environments.NonDistributedEnvironment object at 0x739a1df260f0>"", ""type"": ""NonDistributedEnvironment"", ""class"": ""NonDistributedEnvironment"", ""module"": ""guidellm.scheduler.environments"", ""attributes"": {""run_errors"": []}}",generative_benchmark,acee2b69-b281-4212-aaa1-044154fe5aaa,synchronous,"{""max_duration"": {""type_"": ""max_duration"", ""args"": {""kind"": ""max_duration"", ""stopping_scope"": ""current"", ""seconds"": 720}, ""current_index"": 0}, ""max_requests"": {""type_"": ""max_requests"", ""args"": {""kind"": ""max_requests"", ""stopping_scope"": ""current"", ""count"": 20}, ""current_index"": 0}, ""max_errors"": {""type_"": ""max_errors"", ""args"": {""kind"": ""max_errors"", ""stopping_scope"": ""current"", ""count"": 60}, ""current_index"": 0}}",2026-08-22 11:18:10,2026-08-22 11:18:10,2026-08-22 11:18:10,2026-08-22 11:30:10,2026-08-22 11:30:10,2026-08-22 11:30:11,720.0,-0.0012423992156982422,0.0012423992156982422,13,0,0,13,55.452626760189354,55.39522099494934,0.4000457625272993,"[54.91327524185181, 54.91327524185181, 54.91327524185181, 54.91327524185181, 55.08905601501465, 55.23589825630188, 55.52048683166504, 55.698944330215454, 56.66032648086548, 56.66032648086548, 56.66032648086548]",513.7692307692308,514.0,1.3674145257408599,"[511.0, 511.0, 511.0, 511.0, 512.0, 513.0, 515.0, 515.0, 515.0, 515.0, 515.0]",47545.62251384441,47483.14809799194,332.6698755298156,"[47236.56439781189, 47236.56439781189, 47236.56439781189, 47236.56439781189, 47283.20360183716, 47410.82501411438, 47575.916051864624, 47607.845306396484, 48639.45126533508, 48639.45126533508, 48639.45126533508]",22401.577436006984,0.0,24228.0933596176,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 47575.916051864624, 48639.45126533508, 52503.320932388306, 52503.320932388306, 52503.320932388306]",108.3056560645883,108.19354606792331,0.7813389914437009,"[107.25214472040534, 107.25214472040534, 107.25214472040534, 107.25214472040534, 107.59554617106915, 107.88239073008299, 108.43818308785558, 108.78675431013107, 110.66440586000681, 110.66440586000681, 110.66440586000681]",15.473333446623851,15.441358905949004,0.341044399565236,"[14.710899435144114, 14.710899435144114, 14.710899435144114, 14.710899435144114, 15.144428395011888, 15.239237339295986, 15.766753142593892, 15.869911402872164, 15.89609032274459, 15.89609032274459, 15.89609032274459]",0.016666666666666666,0.018040500534528298,0.004778629669393857,"[0.0, 0.0, 0.0, 0.0, 0.017848093165638325, 0.01800257224119149, 0.018076079799840845, 0.018097382872316287, 0.018126115394846945, 0.018126115394846945, 0.018126115394846945]",0.9999886694881651,1.0,0.003366063495299502,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",98345.69230769231,98346.0,0.46153846153846156,"[98345.0, 98345.0, 98345.0, 98345.0, 98345.0, 98345.0, 98346.0, 98346.0, 98346.0, 98346.0, 98346.0]",512.0,512.0,0.0,"[512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0]",98857.69230769231,98858.0,0.46153846153846156,"[98857.0, 98857.0, 98857.0, 98857.0, 98857.0, 98857.0, 98858.0, 98858.0, 98858.0, 98858.0, 98858.0]",1920.8010358227082,1774.3483782005783,492.6765651268272,"[1753.67204589067, 1753.67204589067, 1753.67204589067, 1753.67204589067, 1757.7150162932712, 1771.0417508104238, 1776.7827189627312, 1785.2174911826291, 3545.62421554638, 3569.1953586142436, 3569.1953586142436]",9.882773737194785,0.042160224678088803,23.221496710358412,"[0.041104848025203186, 0.041104848025203186, 0.041104848025203186, 0.041185885721218944, 0.041995821187985484, 0.04209404269654403, 0.04238100378699186, 63.559690862251855, 65.24037953025353, 67.97611471169903, 135.15625302097766]",1908.1800883948135,64.76089306117407,44097.58903253661,"[0.041185885721218944, 0.041185885721218944, 0.041185885721218944, 0.04202409649756547, 0.042093491398827516, 0.0422598350195474, 4139.822817077016, 4147.262946711243, 4158.47151225657, 4162.596028842454, 13292212.01585409]",1.002409638554217,1.0019607843137255,0.002690783588573985,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0039292730844793, 1.0059055118110236, 1.0078895463510849, 1.0078895463510849, 1.0078895463510849]",1.0024143654745736,1.0019607843137255,0.002691302088701633,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0039292730844793, 1.0059055118110236, 1.0078895463510849, 1.0078895463510849, 1.0078895463510849]",98345.69230769231,98346.0,0.46153846153846156,"[98345.0, 98345.0, 98345.0, 98345.0, 98345.0, 98345.0, 98346.0, 98346.0, 98346.0, 98346.0, 98346.0]",512.0,512.0,0.0,"[512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0]",49428.846153846156,512.0,48916.84615493483,"[512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 98346.0, 98346.0, 98346.0, 98346.0, 98346.0]",77494.92307692308,77492.0,31.30854279699082,"[77438.0, 77438.0, 77438.0, 77438.0, 77453.0, 77482.0, 77527.0, 77536.0, 77545.0, 77545.0, 77545.0]",149.69230769230768,0.0,175.52356169488803,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 348.0, 401.0, 412.0, 412.0, 412.0]",38822.307692307695,77438.0,38672.82088313667,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 77492.0, 77530.0, 77536.0, 77545.0, 77545.0]",520628.30769230775,520510.0,670.751746419973,"[519881.0, 519881.0, 519881.0, 519881.0, 520021.0, 520087.0, 520979.0, 521230.0, 522375.0, 522375.0, 522375.0]",973.0,0.0,1133.7011544901538,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2302.0, 2423.0, 2603.0, 2603.0, 2603.0]",260800.65384615387,519881.0,259829.3233957693,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 520510.0, 521068.0, 521230.0, 522375.0, 522375.0]",0,1,18,18,13,0,5,2026-08-22 11:30:11,"{""max_duration"": {""request_queuing"": ""stop"", ""request_processing"": ""stop_local"", ""stopping_scope"": ""current"", ""metadata"": {""max_duration"": 720, ""elapsed_time"": 720.893631696701, ""duration_exceeded"": true, ""start_time"": 1787411890.2603528, ""current_time"": 1787412611.1539845, ""stop_time"": 1787412610.2603528}, ""progress"": {""remaining_requests"": null, ""total_requests"": null, ""remaining_duration"": 0.0, ""total_duration"": 720.0, ""stop_time"": 1787412610.2603528}}}",2026-08-22 11:30:11,"{""max_duration"": {""request_queuing"": ""stop"", ""request_processing"": ""stop_local"", ""stopping_scope"": ""current"", ""metadata"": {""max_duration"": 720, ""elapsed_time"": 720.893631696701, ""duration_exceeded"": true, ""start_time"": 1787411890.2603528, ""current_time"": 1787412611.1539845, ""stop_time"": 1787412610.2603528}, ""progress"": {""remaining_requests"": null, ""total_requests"": null, ""remaining_duration"": 0.0, ""total_duration"": 720.0, ""stop_time"": 1787412610.2603528}}}",13,2,0,15,182.1735123225621,3.584793635777065e-05,0.0005594491958618164,5.119187491280692e-05,0.0006106410707746233,55.45262676018935,0.00038368885333721456,51.49236013208117,0.002085345132010324,0.0002920116697038923,"{""version"":2,""guidellm_version"":""0.7.3"",""python_version"":""3.12.13"",""platform"":""Linux-7.0.0-30-generic-x86_64-with-glibc2.43""}","{""metadata"":{""labels"":{}},""spec"":{""backend"":{""kind"":""openai_http"",""target"":""http://127.0.0.1:8017"",""model"":""shooting-brake-jota-r15"",""request_format"":""/v1/chat/completions"",""api_key"":null,""api_routes"":{""/health"":""health"",""/v1/models"":""v1/models"",""/v1/completions"":""v1/completions"",""/v1/chat/completions"":""v1/chat/completions"",""/v1/embeddings"":""v1/embeddings"",""/v1/responses"":""v1/responses"",""/v1/audio/transcriptions"":""v1/audio/transcriptions"",""/v1/audio/translations"":""v1/audio/translations"",""/pooling"":""pooling""},""timeout"":null,""timeout_connect"":5.0,""http2"":true,""follow_redirects"":true,""verify"":false,""validate_backend"":true,""stream"":true,""extras"":null,""max_tokens"":null,""server_history"":false,""tool_call_missing_behavior"":""error_stop"",""multiturn_reasoning"":false},""profile"":{""kind"":""synchronous"",""rampup_duration"":10.0,""warmup"":{""percent"":0.0,""value"":null,""mode"":""prefer_duration""},""cooldown"":{""percent"":0.0,""value"":null,""mode"":""prefer_duration""}},""constraints"":[{""kind"":""max_duration"",""stopping_scope"":""current"",""seconds"":720},{""kind"":""max_requests"",""stopping_scope"":""current"",""count"":20},{""kind"":""max_errors"",""stopping_scope"":""current"",""count"":60}],""tokenizer"":{""kind"":""huggingface_auto"",""model"":""srswti/axe-superveloce-jota-118b-r15-nvfp4"",""load_kwargs"":{""trust_remote_code"":true}},""data"":[{""kind"":""synthetic_text"",""load_kwargs"":{},""prompt_tokens"":98304,""prompt_tokens_stdev"":null,""prompt_tokens_min"":null,""prompt_tokens_max"":null,""output_tokens"":512,""output_tokens_stdev"":null,""output_tokens_min"":null,""output_tokens_max"":null,""delay"":null,""delay_stdev"":null,""delay_min"":null,""delay_max"":null,""turns"":1,""tool_call_turns"":[],""tools"":null,""tool_response_tokens"":null,""tool_response_tokens_stdev"":null,""tool_response_tokens_min"":null,""tool_response_tokens_max"":null,""server_tool_call_turns"":[],""prefix_buckets"":null}],""data_column_mapper"":{""kind"":""generative_column_mapper"",""column_mappings"":null},""data_preprocessors"":[{""kind"":""encode_media"",""audio_kwargs"":{},""image_kwargs"":{},""video_kwargs"":{}}],""data_finalizer"":{""kind"":""generative"",""tool_call_mode"":""client""},""data_loader"":{""kind"":""pytorch"",""samples"":-1,""shuffle"":false,""num_workers"":1},""seed"":{""kind"":""static"",""value"":42},""outputs"":[{""kind"":""json"",""path"":""/home/shooting-brake007/srswti/shooting-brake/bench-matrix/jota_r15_c6/shooting-brake-jota-r15/ctx_98304/synchronous/report.json""},{""kind"":""csv"",""path"":""/home/shooting-brake007/srswti/shooting-brake/bench-matrix/jota_r15_c6/shooting-brake-jota-r15/ctx_98304/synchronous/report.csv""}],""metrics"":{""kind"":""generative"",""sample_size"":null,""prefer_response_metrics"":true}},""benchmarks"":[null]}"
