Run Info,Run Info,Run Info,Run Info,Run Info,Run Info,Benchmark,Benchmark,Benchmark,Benchmark,Timings,Timings,Timings,Timings,Timings,Timings,Timings,Timings,Timings,Request Counts,Request Counts,Request Counts,Request Counts,Request Latency,Request Latency,Request Latency,Request Latency,Streaming Iterations,Streaming Iterations,Streaming Iterations,Streaming Iterations,Time to First Token,Time to First Token,Time to First Token,Time to First Token,Time to First Output Token,Time to First Output Token,Time to First Output Token,Time to First Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Time per Output Token,Inter Token Latency,Inter Token Latency,Inter Token Latency,Inter Token Latency,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Server Throughput,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Metrics,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Throughput,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Token Streaming,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Tokens,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Words,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Text Characters,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler State,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Scheduler Metrics,Runtime Info,Runtime Info
Run ID,Run Index,Profile,Requests,Backend,Environment,Type,ID,Strategy,Constraints,Start Time,Request Start Time,Measure Start Time,Measure End Time,Request End Time,End Time,Duration,Warmup,Cooldown,Successful,Incomplete,Errored,Total,Successful Sec,Successful Sec,Successful Sec,Successful Sec,Successful Count,Successful Count,Successful Count,Successful Count,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful ms,Successful Requests/Sec,Successful Requests/Sec,Successful Requests/Sec,Successful Requests/Sec,Successful Concurrency,Successful Concurrency,Successful Concurrency,Successful Concurrency,Successful Input Tokens,Successful Input Tokens,Successful Input Tokens,Successful Input Tokens,Successful Output Tokens,Successful Output Tokens,Successful Output Tokens,Successful Output Tokens,Successful Total Tokens,Successful Total Tokens,Successful Total Tokens,Successful Total Tokens,Successful Input Tokens/Sec,Successful Input Tokens/Sec,Successful Input Tokens/Sec,Successful Input Tokens/Sec,Successful Output Tokens/Sec,Successful Output Tokens/Sec,Successful Output Tokens/Sec,Successful Output Tokens/Sec,Successful Total Tokens/Sec,Successful Total Tokens/Sec,Successful Total Tokens/Sec,Successful Total Tokens/Sec,Successful Output Tokens/Iter,Successful Output Tokens/Iter,Successful Output Tokens/Iter,Successful Output Tokens/Iter,Successful Iter Tokens/Iter,Successful Iter Tokens/Iter,Successful Iter Tokens/Iter,Successful Iter Tokens/Iter,Successful Input,Successful Input,Successful Input,Successful Input,Successful Output,Successful Output,Successful Output,Successful Output,Successful Total,Successful Total,Successful Total,Successful Total,Successful Input,Successful Input,Successful Input,Successful Input,Successful Output,Successful Output,Successful Output,Successful Output,Successful Total,Successful Total,Successful Total,Successful Total,Successful Input,Successful Input,Successful Input,Successful Input,Successful Output,Successful Output,Successful Output,Successful Output,Successful Total,Successful Total,Successful Total,Successful Total,Node ID,Num Processes,Created Requests,Processed Requests,Successful Requests,Errored Requests,Cancelled Requests,End Queuing Time,End Queuing Constraints,End Processing Time,End Processing Constraints,Requests Made Successful,Requests Made Incomplete,Requests Made Errored,Requests Made Total,Queued Time Avg,Resolve Start Delay Avg,Resolve Targeted Start Delay Avg,Request Start Delay Avg,Request Targeted Start Delay Avg,Request Time Avg,Resolve End Delay Avg,Resolve Time Avg,Finalized Delay Avg,Processed Delay Avg,Metadata,Arguments
,,,,,,,,,,,,,,,,Sec,Sec,Sec,,,,,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,Mean,Median,Std Dev,Percentiles,,,,,,,,,,,,,,,,Sec,Sec,Sec,Sec,Sec,Sec,Sec,Sec,Sec,Sec,,
f38697b6-be56-437e-9ec1-fe8a107d01e9,0,"{""kind"": ""synchronous"", ""rampup_duration"": 10.0, ""warmup"": {""percent"": 0.0, ""value"": null, ""mode"": ""prefer_duration""}, ""cooldown"": {""percent"": 0.0, ""value"": null, ""mode"": ""prefer_duration""}}","{""kind"": ""pytorch"", ""samples"": -1, ""shuffle"": false, ""num_workers"": 1}","{""kind"": ""openai_http"", ""target"": ""http://127.0.0.1:8017"", ""model"": ""shooting-brake-jota-r15"", ""request_format"": ""/v1/chat/completions"", ""api_key"": null, ""api_routes"": {""/health"": ""health"", ""/v1/models"": ""v1/models"", ""/v1/completions"": ""v1/completions"", ""/v1/chat/completions"": ""v1/chat/completions"", ""/v1/embeddings"": ""v1/embeddings"", ""/v1/responses"": ""v1/responses"", ""/v1/audio/transcriptions"": ""v1/audio/transcriptions"", ""/v1/audio/translations"": ""v1/audio/translations"", ""/pooling"": ""pooling""}, ""timeout"": null, ""timeout_connect"": 5.0, ""http2"": true, ""follow_redirects"": true, ""verify"": false, ""validate_backend"": true, ""stream"": true, ""extras"": null, ""max_tokens"": null, ""server_history"": false, ""tool_call_missing_behavior"": ""error_stop"", ""multiturn_reasoning"": false}","{""str"": ""<guidellm.scheduler.environments.NonDistributedEnvironment object at 0x772ccedf3d40>"", ""type"": ""NonDistributedEnvironment"", ""class"": ""NonDistributedEnvironment"", ""module"": ""guidellm.scheduler.environments"", ""attributes"": {""run_errors"": []}}",generative_benchmark,3ded6339-296f-42a2-aeaa-df9027f16d6f,synchronous,"{""max_duration"": {""type_"": ""max_duration"", ""args"": {""kind"": ""max_duration"", ""stopping_scope"": ""current"", ""seconds"": 360}, ""current_index"": 0}, ""max_requests"": {""type_"": ""max_requests"", ""args"": {""kind"": ""max_requests"", ""stopping_scope"": ""current"", ""count"": 20}, ""current_index"": 0}, ""max_errors"": {""type_"": ""max_errors"", ""args"": {""kind"": ""max_errors"", ""stopping_scope"": ""current"", ""count"": 60}, ""current_index"": 0}}",2026-08-24 08:54:44,2026-08-24 08:54:44,2026-08-24 08:54:44,2026-08-24 09:00:44,2026-08-24 08:58:58,2026-08-24 08:58:58,360.0,-0.0016794204711914062,-106.15982055664062,20,0,0,20,12.691598045825957,12.702931880950928,0.1875903115536962,"[12.428184032440186, 12.428184032440186, 12.428184032440186, 12.428184032440186, 12.478588342666626, 12.5158851146698, 12.727176666259766, 12.885562419891357, 13.008536338806152, 13.2146315574646, 13.2146315574646]",511.4,511.0,3.2924155266308657,"[499.0, 499.0, 499.0, 499.0, 510.0, 510.0, 513.0, 515.0, 515.0, 515.0, 515.0]",6324.065017700195,6238.677740097046,196.92356873835823,"[6168.465137481689, 6168.465137481689, 6168.465137481689, 6168.465137481689, 6172.601222991943, 6195.937395095825, 6393.61310005188, 6618.6676025390625, 6691.7994022369385, 6924.544334411621, 6924.544334411621]",5584.993743896484,6252.7525424957275,2484.4695796575656,"[0.0, 0.0, 0.0, 0.0, 0.0, 6186.803102493286, 6405.821800231934, 6691.7994022369385, 6924.544334411621, 10022.997856140137, 10022.997856140137]",24.788039340637624,24.81020474806428,0.36639079779277894,"[24.27353337407112, 24.27353337407112, 24.27353337407112, 24.27353337407112, 24.371993262320757, 24.4448259472847, 24.857501033693552, 25.166851468384266, 25.407071691006422, 25.809602811932564, 25.809602811932564]",12.46068713249759,12.428009813312448,0.20454417909835232,"[11.953705210975006, 11.953705210975006, 11.953705210975006, 11.953705210975006, 12.084729050936764, 12.352813713237964, 12.650474876806927, 12.67167966659755, 12.673802105181371, 12.714582879949223, 12.714582879949223]",0.05555555555555554,0.07815407710460764,0.033463969480942865,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.016823126918994506, 0.07924471692944254, 0.07991546417916534, 0.08001497167343362, 0.0802963082762685, 0.0802963082762685]",0.7050887803236644,1.0,0.45600284229964155,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",16425.949999999997,16426.0,0.2179449471770337,"[16425.0, 16425.0, 16425.0, 16425.0, 16426.0, 16426.0, 16426.0, 16426.0, 16426.0, 16426.0, 16426.0]",512.0,512.0,0.0,"[512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0]",16937.949999999997,16938.0,0.2179449471770337,"[16937.0, 16937.0, 16937.0, 16937.0, 16938.0, 16938.0, 16938.0, 16938.0, 16938.0, 16938.0, 16938.0]",1364.5065092923815,1292.774790939075,297.322841865273,"[1265.7299469143147, 1265.7299469143147, 1265.7299469143147, 1265.7299469143147, 1268.7809426096069, 1283.6755837958879, 1311.9858794720128, 1328.7243319912047, 2611.511197705394, 2657.5385624583287, 2657.5385624583287]",41.42064692684341,78.65106510651066,39.97093249953116,"[0.28829708641714624, 0.28829708641714624, 0.28829708641714624, 0.30064037852387643, 0.3134287746679543, 0.32074862227268724, 80.611635371221, 81.2177572085902, 81.24222585018954, 83.65700061092981, 166.32842923424673]",1370.2750910439988,80.46472010129303,13647.12461529297,"[0.29113046341413423, 0.29113046341413423, 0.29113046341413423, 0.31388622207780387, 0.31992567644616865, 78.6481155072192, 83.65700061092981, 5268.937618073433, 5299.102112101125, 5314.743652317724, 2732277.107030971]",1.007081038552321,1.0059055118110236,0.006588995815600392,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0039292730844793, 1.0078895463510849, 1.0098814229249011, 1.0098814229249011, 1.0323232323232323, 1.0323232323232323]",1.007094994087505,1.0059055118110236,0.006587975016032917,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0039292730844793, 1.0078895463510849, 1.0098814229249011, 1.0098814229249011, 1.0323232323232323, 1.0323232323232323]",16425.949999999997,16426.0,0.2179449471770337,"[16425.0, 16425.0, 16425.0, 16425.0, 16426.0, 16426.0, 16426.0, 16426.0, 16426.0, 16426.0, 16426.0]",512.0,512.0,0.0,"[512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0]",8468.974999999999,512.0,7956.975001492401,"[512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 16426.0, 16426.0, 16426.0, 16426.0, 16426.0]",12923.400000000001,12921.0,14.981321704042005,"[12900.0, 12900.0, 12900.0, 12900.0, 12903.0, 12910.0, 12931.0, 12946.0, 12946.0, 12958.0, 12958.0]",311.85,374.0,145.7526243331488,"[0.0, 0.0, 0.0, 0.0, 0.0, 329.0, 398.0, 414.0, 414.0, 418.0, 418.0]",6617.625000000001,418.0,6306.626077735622,"[0.0, 0.0, 0.0, 0.0, 107.0, 374.0, 12921.0, 12934.0, 12946.0, 12958.0, 12958.0]",86819.05000000002,86833.0,168.53589380307093,"[86418.0, 86418.0, 86418.0, 86418.0, 86580.0, 86708.0, 86917.0, 86987.0, 87041.0, 87170.0, 87170.0]",1944.1000000000001,2339.0,886.545311870747,"[0.0, 0.0, 0.0, 0.0, 0.0, 2178.0, 2433.0, 2507.0, 2546.0, 2578.0, 2578.0]",44381.57500000001,2578.0,42442.27218050861,"[0.0, 0.0, 0.0, 0.0, 860.0, 2339.0, 86830.0, 86938.0, 86987.0, 87170.0, 87170.0]",0,1,20,20,20,0,0,2026-08-24 08:57:54,"{""max_requests"": {""request_queuing"": ""stop"", ""request_processing"": ""continue"", ""stopping_scope"": ""current"", ""metadata"": {""max_requests"": 20, ""create_exceeded"": true, ""processed_exceeded"": false, ""created_requests"": 20, ""processed_requests"": 15, ""remaining_requests"": 5, ""stop_time"": null}, ""progress"": {""remaining_requests"": 5.0, ""total_requests"": 20.0, ""remaining_duration"": null, ""total_duration"": null, ""stop_time"": null}}}",2026-08-24 08:58:58,"{""max_requests"": {""request_queuing"": ""stop"", ""request_processing"": ""stop_local"", ""stopping_scope"": ""current"", ""metadata"": {""max_requests"": 20, ""create_exceeded"": true, ""processed_exceeded"": true, ""created_requests"": 20, ""processed_requests"": 20, ""remaining_requests"": 0, ""stop_time"": 1787576338.6711528}, ""progress"": {""remaining_requests"": 0.0, ""total_requests"": 20.0, ""remaining_duration"": null, ""total_duration"": null, ""stop_time"": 1787576338.6711528}}}",20,0,0,20,44.5706707239151,3.1507015228271486e-05,0.0003656744956970215,4.5251846313476565e-05,0.00041092634201049804,12.691598045825959,0.0001778841018676758,12.69182118177414,0.0009050130844116211,0.0002484440803527832,"{""version"":2,""guidellm_version"":""0.7.3"",""python_version"":""3.12.13"",""platform"":""Linux-7.0.0-30-generic-x86_64-with-glibc2.43""}","{""metadata"":{""labels"":{}},""spec"":{""backend"":{""kind"":""openai_http"",""target"":""http://127.0.0.1:8017"",""model"":""shooting-brake-jota-r15"",""request_format"":""/v1/chat/completions"",""api_key"":null,""api_routes"":{""/health"":""health"",""/v1/models"":""v1/models"",""/v1/completions"":""v1/completions"",""/v1/chat/completions"":""v1/chat/completions"",""/v1/embeddings"":""v1/embeddings"",""/v1/responses"":""v1/responses"",""/v1/audio/transcriptions"":""v1/audio/transcriptions"",""/v1/audio/translations"":""v1/audio/translations"",""/pooling"":""pooling""},""timeout"":null,""timeout_connect"":5.0,""http2"":true,""follow_redirects"":true,""verify"":false,""validate_backend"":true,""stream"":true,""extras"":null,""max_tokens"":null,""server_history"":false,""tool_call_missing_behavior"":""error_stop"",""multiturn_reasoning"":false},""profile"":{""kind"":""synchronous"",""rampup_duration"":10.0,""warmup"":{""percent"":0.0,""value"":null,""mode"":""prefer_duration""},""cooldown"":{""percent"":0.0,""value"":null,""mode"":""prefer_duration""}},""constraints"":[{""kind"":""max_duration"",""stopping_scope"":""current"",""seconds"":360},{""kind"":""max_requests"",""stopping_scope"":""current"",""count"":20},{""kind"":""max_errors"",""stopping_scope"":""current"",""count"":60}],""tokenizer"":{""kind"":""huggingface_auto"",""model"":""srswti/axe-superveloce-jota-118b-r15-nvfp4"",""load_kwargs"":{""trust_remote_code"":true}},""data"":[{""kind"":""synthetic_text"",""load_kwargs"":{},""prompt_tokens"":16384,""prompt_tokens_stdev"":null,""prompt_tokens_min"":null,""prompt_tokens_max"":null,""output_tokens"":512,""output_tokens_stdev"":null,""output_tokens_min"":null,""output_tokens_max"":null,""delay"":null,""delay_stdev"":null,""delay_min"":null,""delay_max"":null,""turns"":1,""tool_call_turns"":[],""tools"":null,""tool_response_tokens"":null,""tool_response_tokens_stdev"":null,""tool_response_tokens_min"":null,""tool_response_tokens_max"":null,""server_tool_call_turns"":[],""prefix_buckets"":null}],""data_column_mapper"":{""kind"":""generative_column_mapper"",""column_mappings"":null},""data_preprocessors"":[{""kind"":""encode_media"",""audio_kwargs"":{},""image_kwargs"":{},""video_kwargs"":{}}],""data_finalizer"":{""kind"":""generative"",""tool_call_mode"":""client""},""data_loader"":{""kind"":""pytorch"",""samples"":-1,""shuffle"":false,""num_workers"":1},""seed"":{""kind"":""static"",""value"":1838852907},""outputs"":[{""kind"":""json"",""path"":""/home/shooting-brake007/srswti/shooting-brake/bench-matrix/jota_r15_pipeline2/shooting-brake-jota-r15/ctx_16384/synchronous/report.json""},{""kind"":""csv"",""path"":""/home/shooting-brake007/srswti/shooting-brake/bench-matrix/jota_r15_pipeline2/shooting-brake-jota-r15/ctx_16384/synchronous/report.csv""}],""metrics"":{""kind"":""generative"",""sample_size"":null,""prefer_response_metrics"":true}},""benchmarks"":[null]}"
